to,from,weight
ASV804,ASV1542,1
ASV392,710ecb4505ef3318c6df049aa439f507,0.998569692
ASV76,ASV243,0.006618808
ASV1765,ASV117,1
ASV747,7a53176307f0f04ba8ff4fed2cb4c274,1
ASV1801,ASV1141,0.022222577
ASV768,ASV1145,6.19E-04
ASV1016,ASV1145,1
ASV352,ASV30,1
fa19522f4a04124c8aeb8b8247645879,ASV1145,5.24E-04
ASV526,c57c80b904fe1d31d276fe185494d61e,1.11E-16
ASV1127,ASV31,0.293248278
ASV328,509ace08b5aa48a88deb5bdad25845d3,0.167043433
ccbef4f7fdf76aab7fed38193f0dbbb4,6e62698c5e7896acb3a16c75c2adec1e,0.002473508
ASV27,ASV66,0.857142857
ASV1209,ASV570,1
6750c6f1b2e9b5eb18c01044ef04b255,ASV352,0.081283396
ASV249,ASV1004,1
ASV249,ASV1364,1
ASV328,ASV768,0.19419294
ASV111,ASV58,0.993684496
ASV1209,ASV76,1
ASV943,411dc3c2024aedcc3a2e98373cbfd904,1
ASV1969,ASV111,0.047096244
a374682230a829573120efb75d1bd96b,7491e559c46784c3c627e6d37ef33128,1
ASV667,ASV57,1
ASV876,07d8d1545671fcbe90bfbecd0552c767,0
ASV448,ASV1543,0.00251382
ASV1765,ASV100,0.755928946
835f49fc13f0f9a859af009937925151,ASV1158,0.00406353
ASV1878,ASV117,1
ASV897,ASV133,1
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV57,1
ASV281,ASV117,1
d9f8ab9eab576c318fe0b1eb43da07ed,ASV1145,1
ASV1017,ASV1769,0.028032563
ASV952,ASV1145,1
ASV637,710ecb4505ef3318c6df049aa439f507,0.99933617
eceddaca443bec367cef72b93e49d8f3,ASV344,0.755928946
ASV1127,ASV1158,1
ASV431,ASV392,0.298914814
ASV1677,ASV742,0.134630355
ASV74,ASV392,1
ASV1677,ASV1004,1
ASV1677,ASV1364,0.04682204
ASV1092,ASV414,0.999916414
ASV1549,ASV30,1
ASV178,ASV392,0.57231653
ASV1878,ASV100,0.755928946
ASV243,ASV1004,0.02790439
ASV243,ASV1364,0.044417806
ASV1231,710ecb4505ef3318c6df049aa439f507,1
ASV713,ASV1769,1
710ecb4505ef3318c6df049aa439f507,b3c35c04f4a0b80371156dd6483f1b25,1.11E-16
ASV281,ASV100,0.991526943
ASV1765,ASV1878,1
ASV667,6e62698c5e7896acb3a16c75c2adec1e,1
a374682230a829573120efb75d1bd96b,ASV1016,1
ASV532,ASV650,1
6598ffab6ef90f90ee7a86a9a16f5b82,ASV249,1
ASV796,ASV133,1
ASV111,ASV1141,1
ASV30,ASV570,1
ASV815,ASV629,7.27E-05
ASV1969,ASV1763,1
6750c6f1b2e9b5eb18c01044ef04b255,ASV76,1.11E-16
ASV31,ASV1850,0.220144196
6598ffab6ef90f90ee7a86a9a16f5b82,ASV243,1
ASV76,ASV570,0.111684245
ASV57,7491e559c46784c3c627e6d37ef33128,1
ASV98,5ab75def4e6aa82a790cbc92161365b1,1
ASV1842,f5e86a9841f8fb6613b42e1df9d229fa,0.005779204
6598ffab6ef90f90ee7a86a9a16f5b82,ASV1677,1
a374682230a829573120efb75d1bd96b,ccbef4f7fdf76aab7fed38193f0dbbb4,1
ASV1645,ASV1144,1
ASV785,ASV1144,1.28E-06
ASV392,ASV560,0.755928946
ASV796,ASV489,1.11E-16
ASV288,ASV394,0.999857882
ASV633,ASV30,1
ASV288,ASV393,0.999857882
ccbef4f7fdf76aab7fed38193f0dbbb4,411dc3c2024aedcc3a2e98373cbfd904,0.001307584
411dc3c2024aedcc3a2e98373cbfd904,509ace08b5aa48a88deb5bdad25845d3,1
ASV1285,ASV1284,1
ASV633,ASV117,1
ASV444,ASV133,5.33E-07
ASV111,f5e86a9841f8fb6613b42e1df9d229fa,0.005697487
fa19522f4a04124c8aeb8b8247645879,6e62698c5e7896acb3a16c75c2adec1e,1
ASV87,ASV1542,1
ASV249,ASV76,1.11E-16
ASV782,ASV1542,1
ASV1842,ASV1207,1
ASV1039,ASV1765,0.083069294
ASV637,ASV560,0.755928946
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV57,1
1d3c6367e5f30af163aedf4e59eadeed,ASV352,0.002606017
ASV489,ASV394,1.11E-16
ASV865,ASV98,1
ASV489,ASV393,1
ASV281,ASV1209,1
ASV444,ASV489,1
ASV932,ccbef4f7fdf76aab7fed38193f0dbbb4,1
ASV768,ASV420,1
ASV1016,fa19522f4a04124c8aeb8b8247645879,1.11E-16
7a53176307f0f04ba8ff4fed2cb4c274,ASV288,0.016710503
ASV1209,ASV30,1
54dd4aa26421356fd278e399d2603a0b,509ace08b5aa48a88deb5bdad25845d3,1
ASV796,ASV1144,1
ASV1645,ASV133,0.004117963
ASV323,ASV895,4.50E-05
ASV288,ASV815,0.755928946
ASV633,ASV100,0.114975568
ASV785,ASV897,2.52E-04
ASV895,ASV1672,1
ASV1173,ASV1763,0.755928946
ASV532,ASV629,1
1d3c6367e5f30af163aedf4e59eadeed,6598ffab6ef90f90ee7a86a9a16f5b82,0.005327557
ASV1645,7a53176307f0f04ba8ff4fed2cb4c274,0.001624391
ASV98,ASV1542,0.003324237
ASV133,ASV1144,1
ASV865,ASV87,1
ASV876,ASV1231,1
ASV1969,ASV423,0.992510926
ASV1645,ASV489,1
ASV1969,ASV782,1
ASV1284,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV804,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV650,ASV288,0.016710503
ASV243,ASV100,0.755928946
6598ffab6ef90f90ee7a86a9a16f5b82,ASV570,0.056383071
ASV489,ASV815,1
ASV943,ASV57,1.11E-16
ASV94,ASV77,0.615625309
ASV87,ASV111,1.11E-16
ASV768,d9f8ab9eab576c318fe0b1eb43da07ed,1
ASV1285,ASV804,0.004348798
ASV526,ASV431,1.11E-16
ASV1842,ASV1542,1
ASV637,ASV74,1
ASV431,ASV344,0.755928946
ASV109,ASV1672,1
ASV932,ASV952,1.11E-16
ASV1677,ASV76,1
ASV281,ASV1549,0.059704177
ASV111,ASV782,1
ASV865,ASV8,1
ASV74,ASV344,1
ASV1141,ASV1542,1
ASV328,fa19522f4a04124c8aeb8b8247645879,0.755928946
6750c6f1b2e9b5eb18c01044ef04b255,ASV30,1
c613f331cf39789e2b4cf12aa809ac30,ASV1973,1
ASV178,ASV344,0.698755512
ASV1969,ASV1285,1
ASV1969,ASV1284,1
ASV667,ASV1145,1
ASV1092,ASV288,0.07831117
ASV768,6e62698c5e7896acb3a16c75c2adec1e,1.11E-16
ASV133,ASV288,0.016710503
a374682230a829573120efb75d1bd96b,d9f8ab9eab576c318fe0b1eb43da07ed,0.004856977
ASV1141,ASV804,1
a374682230a829573120efb75d1bd96b,ASV57,1
ASV109,ASV323,0.009464989
ASV1850,ASV1158,1
ASV932,ASV1016,1.11E-16
ASV489,ASV1144,0.001386122
ASV1284,ASV58,0.662044588
ASV1284,ASV1763,1
c57c80b904fe1d31d276fe185494d61e,ASV178,0.755928946
ASV1016,ASV420,1
ASV344,07d8d1545671fcbe90bfbecd0552c767,0.3994747
ASV742,ASV352,1
ASV1677,ASV249,1
ASV1016,54dd4aa26421356fd278e399d2603a0b,1.11E-16
6598ffab6ef90f90ee7a86a9a16f5b82,6750c6f1b2e9b5eb18c01044ef04b255,0.098764195
ASV249,ASV30,0.002490771
ASV1016,f829f7dd05af5b9ae70b3cb07c41bb7a,1
ASV1207,ASV1542,1
ASV1677,ASV243,1
ASV347,ASV1542,1
ASV178,b3c35c04f4a0b80371156dd6483f1b25,0.999648979
ASV952,509ace08b5aa48a88deb5bdad25845d3,5.23E-05
6750c6f1b2e9b5eb18c01044ef04b255,ASV633,1
c613f331cf39789e2b4cf12aa809ac30,835f49fc13f0f9a859af009937925151,0.026672817
ASV865,ASV58,0.993684496
ASV747,ASV897,1
ASV637,eceddaca443bec367cef72b93e49d8f3,0.755928946
ASV782,ASV98,1
1d3c6367e5f30af163aedf4e59eadeed,ASV76,0.01998216
ASV747,ASV532,1
ASV526,07d8d1545671fcbe90bfbecd0552c767,1.11E-16
ASV1973,ASV744,1
ASV1765,ASV742,1
ASV897,ASV414,0.755928946
ASV423,ASV1763,0.755928946
ASV117,ASV249,7.40E-04
ASV865,ASV1542,0.026070963
ASV637,ASV876,0.99933617
ASV876,ASV560,1
c613f331cf39789e2b4cf12aa809ac30,ASV1158,1
ASV117,ASV243,1
ASV1039,6750c6f1b2e9b5eb18c01044ef04b255,1
ASV431,9c0e35aab9c3645fa3182513b254cc5d,3.63E-04
ASV796,ASV785,1
ASV57,d9f8ab9eab576c318fe0b1eb43da07ed,1.11E-16
ASV1173,ASV1284,0.127870759
ASV932,7491e559c46784c3c627e6d37ef33128,1
ASV281,ASV1878,1
ASV1231,eceddaca443bec367cef72b93e49d8f3,2.55E-04
ASV444,ASV796,2.45E-06
ASV1801,ASV1763,1
ASV1207,5ab75def4e6aa82a790cbc92161365b1,1
ASV1645,ASV444,0.004014629
ASV1765,ASV1004,1
1d3c6367e5f30af163aedf4e59eadeed,ASV1765,1
ASV1765,ASV1364,1
ASV98,ASV804,1
ASV1039,ASV76,1.11E-16
ASV328,54dd4aa26421356fd278e399d2603a0b,0.999367544
ASV328,f829f7dd05af5b9ae70b3cb07c41bb7a,0.999367544
ASV242,ASV178,1
ASV8,ASV58,0.993684496
411dc3c2024aedcc3a2e98373cbfd904,fa19522f4a04124c8aeb8b8247645879,1
d9f8ab9eab576c318fe0b1eb43da07ed,7491e559c46784c3c627e6d37ef33128,0.003896341
ASV281,ASV742,1
5ab75def4e6aa82a790cbc92161365b1,ASV1173,0.706566155
ASV444,ASV1144,1
54dd4aa26421356fd278e399d2603a0b,ASV57,1
ASV1842,ASV865,1
ASV796,ASV414,0.999916414
f829f7dd05af5b9ae70b3cb07c41bb7a,509ace08b5aa48a88deb5bdad25845d3,5.23E-05
ASV1549,ASV352,1
eceddaca443bec367cef72b93e49d8f3,ASV178,0.999648979
ASV1973,ASV1158,1
ASV227,ASV242,0.875
ASV444,ASV785,1
ASV1677,ASV30,1
ASV1645,ASV796,1
ASV347,ASV98,1
ASV414,ASV394,0.999916414
ASV532,ASV133,1.11E-16
ASV414,ASV393,0.012872097
ASV1285,5ab75def4e6aa82a790cbc92161365b1,1
ASV87,ASV782,1
ASV1039,ASV352,1
c57c80b904fe1d31d276fe185494d61e,b3c35c04f4a0b80371156dd6483f1b25,0.001451304
ASV1677,ASV570,1
ASV1765,ASV281,1
ASV785,ASV394,1
ASV785,ASV393,4.83E-04
ASV532,ASV489,1
ASV444,ASV414,0.755928946
ASV1645,ASV785,1
ASV8,ASV1173,0.755928946
ASV347,ASV87,1.11E-16
6e62698c5e7896acb3a16c75c2adec1e,7491e559c46784c3c627e6d37ef33128,8.66E-05
ASV667,509ace08b5aa48a88deb5bdad25845d3,1
c613f331cf39789e2b4cf12aa809ac30,ASV1127,1
ASV431,710ecb4505ef3318c6df049aa439f507,4.67E-05
ASV1127,ASV1769,1
ASV117,ASV570,1
1d3c6367e5f30af163aedf4e59eadeed,ASV633,0.007010056
ASV1207,ASV111,0.02395195
ASV414,ASV815,0.012872097
ASV249,ASV243,1
ASV111,ASV1763,1
ASV1542,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV782,ASV58,0.993684496
ASV281,ASV76,1
ASV76,ASV1004,1.11E-16
ASV744,ASV1158,1
ASV76,ASV1364,1
ASV1645,ASV414,0.755928946
1d3c6367e5f30af163aedf4e59eadeed,ASV30,1
ASV1969,ASV8,0.077764735
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV1145,1.71E-04
ASV1515,ASV1158,1
ASV785,ASV815,1
710ecb4505ef3318c6df049aa439f507,07d8d1545671fcbe90bfbecd0552c767,1.11E-16
ASV742,ASV1549,0.019082924
ASV709,ASV1672,1
ASV423,ASV1285,0.48777406
ASV423,ASV1284,0.755928946
5ab75def4e6aa82a790cbc92161365b1,ASV1141,1
411dc3c2024aedcc3a2e98373cbfd904,54dd4aa26421356fd278e399d2603a0b,1
ASV667,ASV420,1
ASV1973,ASV1127,0.022611649
ASV347,ASV865,0.050255251
ASV637,ASV392,0.006507063
ASV1285,ASV1542,1
ASV281,ASV1039,1
ASV288,ASV1144,0.755928946
ASV1801,ASV1285,1
ASV273,ASV77,0.993074703
ASV1231,ASV560,0.003669533
ASV1801,ASV1284,1
ASV420,ASV57,1
ASV1801,ASV865,1
ASV1039,ASV30,0.077536199
ASV897,ASV288,0.755928946
ASV747,ASV1092,1
ASV943,509ace08b5aa48a88deb5bdad25845d3,1
ASV489,ASV650,1.11E-16
ASV1209,ASV352,0.044417806
c57c80b904fe1d31d276fe185494d61e,07d8d1545671fcbe90bfbecd0552c767,0.001260809
ASV1207,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV650,ASV1144,1
ASV347,ASV58,0.662044588
ASV8,ASV1141,0.012456462
ASV1765,ASV1677,1
ASV1969,ASV1207,1
ASV1515,835f49fc13f0f9a859af009937925151,1
ASV1765,ASV249,1
ASV98,ASV58,0.662044588
ASV747,ASV394,1
ASV747,ASV393,4.81E-06
ASV1765,ASV243,1
ASV98,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV344,ASV560,0.755928946
ASV347,5ab75def4e6aa82a790cbc92161365b1,1
ASV249,ASV570,1
ASV420,509ace08b5aa48a88deb5bdad25845d3,4.58E-04
07d8d1545671fcbe90bfbecd0552c767,9c0e35aab9c3645fa3182513b254cc5d,1
eceddaca443bec367cef72b93e49d8f3,b3c35c04f4a0b80371156dd6483f1b25,1
a374682230a829573120efb75d1bd96b,6e62698c5e7896acb3a16c75c2adec1e,1
ASV1645,ASV747,0.004218477
fa19522f4a04124c8aeb8b8247645879,ASV667,1.07E-04
7a53176307f0f04ba8ff4fed2cb4c274,ASV897,1
ASV796,ASV288,0.016710503
7a53176307f0f04ba8ff4fed2cb4c274,ASV532,0.015040749
ASV742,ASV633,1
ASV876,9c0e35aab9c3645fa3182513b254cc5d,0.019098069
ASV932,ASV420,1.11E-16
ASV1207,ASV98,0.003324237
ASV1285,ASV8,0.021258835
ASV288,ASV629,0.999857882
ASV932,d9f8ab9eab576c318fe0b1eb43da07ed,0.008301366
ASV742,ASV1878,1
ASV1878,ASV249,0.280228859
ASV1842,ASV1801,1
ASV1842,ASV804,0.015817975
ASV1878,ASV243,0.207092829
ASV281,ASV249,1
ASV30,ASV1004,1
ASV943,ASV1016,2.41E-04
ASV744,ASV31,0.351293291
ASV1039,ASV1209,1
ASV30,ASV1364,1
ASV747,ASV815,1.11E-16
6750c6f1b2e9b5eb18c01044ef04b255,ASV117,1
ASV1173,ASV1573,0.239705227
ASV281,ASV243,1
ASV281,ASV30,1
ASV8,ASV804,0.005580885
ASV111,ASV1284,0.047096244
5ab75def4e6aa82a790cbc92161365b1,ASV804,1
ASV1207,ASV87,0.04070921
ASV444,ASV288,0.088344428
ASV865,ASV111,1
ASV281,ASV1004,0.039518367
ASV1969,ASV1542,1
ASV281,ASV1364,1
f829f7dd05af5b9ae70b3cb07c41bb7a,fa19522f4a04124c8aeb8b8247645879,1
ASV489,ASV629,1
ASV932,6e62698c5e7896acb3a16c75c2adec1e,3.21E-04
ccbef4f7fdf76aab7fed38193f0dbbb4,509ace08b5aa48a88deb5bdad25845d3,1
ASV1207,ASV782,1
ASV1141,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV31,835f49fc13f0f9a859af009937925151,0.999005189
ASV932,ASV768,1
ASV117,ASV1549,1
eceddaca443bec367cef72b93e49d8f3,c57c80b904fe1d31d276fe185494d61e,0.013939211
ASV768,411dc3c2024aedcc3a2e98373cbfd904,1
ASV448,399fdcf9abac0d03b00f63e93edfd481,1
6750c6f1b2e9b5eb18c01044ef04b255,ASV100,0.114975568
ASV423,ASV865,0.624336026
ASV532,ASV785,0.001250304
ASV57,6e62698c5e7896acb3a16c75c2adec1e,1
a374682230a829573120efb75d1bd96b,ASV1145,1
ASV58,f5e86a9841f8fb6613b42e1df9d229fa,0.993684496
c57c80b904fe1d31d276fe185494d61e,ASV431,1
ASV1645,ASV288,0.067487947
ASV1207,ASV1801,1
ASV1092,ASV897,1
ASV952,54dd4aa26421356fd278e399d2603a0b,1.11E-16
ASV347,ASV1801,1
ASV1765,ASV570,1
ASV1004,ASV570,0.001611677
ASV243,ASV30,0.01001659
ASV876,ASV392,0.755928946
ASV1039,ASV1549,1
ASV637,ASV344,0.999325669
ASV532,ASV1144,0.001168231
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV667,1
ASV1017,ASV1515,1
ASV1842,ASV347,1
ASV532,ASV414,0.071465183
ASV1142,ASV273,0.089582626
6750c6f1b2e9b5eb18c01044ef04b255,ASV1549,1
ASV876,710ecb4505ef3318c6df049aa439f507,1
ASV1542,ASV58,0.993684496
ASV352,ASV100,0.991526943
a374682230a829573120efb75d1bd96b,411dc3c2024aedcc3a2e98373cbfd904,1
509ace08b5aa48a88deb5bdad25845d3,ASV1145,1
ASV178,07d8d1545671fcbe90bfbecd0552c767,0.025982553
ASV1039,ASV633,1
ASV943,ASV328,0.034532386
ASV98,ASV8,0.077764735
ASV633,ASV249,1
ASV570,ASV1364,1
ASV633,ASV243,0.018922775
ASV1878,ASV570,0.04682204
ASV347,ASV804,1
ASV1209,6750c6f1b2e9b5eb18c01044ef04b255,1
ASV1173,ASV1542,0.127870759
ASV1141,ASV58,0.993684496
ASV328,ccbef4f7fdf76aab7fed38193f0dbbb4,0.20808404
ASV281,ASV570,1
ASV713,ASV1515,0.002304185
ASV1769,ASV1850,1
ASV782,f5e86a9841f8fb6613b42e1df9d229fa,1
b3c35c04f4a0b80371156dd6483f1b25,9c0e35aab9c3645fa3182513b254cc5d,0.001089245
ASV1207,ASV58,0.993684496
ASV392,b3c35c04f4a0b80371156dd6483f1b25,0.755928946
ASV1973,ASV31,0.082108965
ASV1801,ASV804,1
c613f331cf39789e2b4cf12aa809ac30,ASV1769,0.002912345
6598ffab6ef90f90ee7a86a9a16f5b82,ASV352,1
ASV1017,ASV31,0.999005189
ASV423,ASV1573,0.319373088
f829f7dd05af5b9ae70b3cb07c41bb7a,54dd4aa26421356fd278e399d2603a0b,1
ASV932,411dc3c2024aedcc3a2e98373cbfd904,2.33E-05
1d3c6367e5f30af163aedf4e59eadeed,ASV117,0.016760508
eceddaca443bec367cef72b93e49d8f3,ASV431,0.007994551
ASV1017,ASV1850,1
fa19522f4a04124c8aeb8b8247645879,509ace08b5aa48a88deb5bdad25845d3,8.29E-04
411dc3c2024aedcc3a2e98373cbfd904,7491e559c46784c3c627e6d37ef33128,1
ASV414,ASV650,0.755928946
ASV560,9c0e35aab9c3645fa3182513b254cc5d,9.27E-04
ASV943,fa19522f4a04124c8aeb8b8247645879,5.24E-04
ASV943,ASV667,1
399fdcf9abac0d03b00f63e93edfd481,ASV1142,1.75E-04
ASV423,ASV1207,0.992510926
ASV31,ASV1158,0.082108965
411dc3c2024aedcc3a2e98373cbfd904,ASV667,1.55E-04
ASV423,5ab75def4e6aa82a790cbc92161365b1,0.755928946
ASV1973,ASV1769,1
ASV1039,ASV1878,1
ASV637,b3c35c04f4a0b80371156dd6483f1b25,0.99933617
ASV782,ASV804,1
ASV785,ASV650,1
ASV526,ASV560,1
ASV352,ASV1004,1
ASV352,ASV1364,1
1d3c6367e5f30af163aedf4e59eadeed,ASV100,0.755928946
6750c6f1b2e9b5eb18c01044ef04b255,ASV1878,1
ASV713,ASV1850,1
54dd4aa26421356fd278e399d2603a0b,7491e559c46784c3c627e6d37ef33128,0.003896341
ASV1017,835f49fc13f0f9a859af009937925151,0.002269242
ASV667,54dd4aa26421356fd278e399d2603a0b,1
ASV281,ASV1677,1
ASV865,ASV782,1
1d3c6367e5f30af163aedf4e59eadeed,ASV1209,0.0235695
ASV1284,ASV1542,1
7a53176307f0f04ba8ff4fed2cb4c274,ASV394,0.00733449
7a53176307f0f04ba8ff4fed2cb4c274,ASV393,1
ASV1969,ASV98,1
ASV1207,ASV8,1
ASV633,ASV570,0.004594671
a374682230a829573120efb75d1bd96b,ASV328,0.755928946
6598ffab6ef90f90ee7a86a9a16f5b82,ASV1765,1
ASV1092,ASV1144,1.11E-16
7a53176307f0f04ba8ff4fed2cb4c274,ASV1144,1
ASV100,ASV1573,0.959183673
ASV1209,ASV633,0.004594671
ASV1231,b3c35c04f4a0b80371156dd6483f1b25,1.11E-16
ASV1016,7491e559c46784c3c627e6d37ef33128,1
ASV489,ASV133,1
ASV87,5ab75def4e6aa82a790cbc92161365b1,1
54dd4aa26421356fd278e399d2603a0b,ASV420,1
fa19522f4a04124c8aeb8b8247645879,ASV952,1
399fdcf9abac0d03b00f63e93edfd481,ASV1125,0.005318891
ASV344,9c0e35aab9c3645fa3182513b254cc5d,0.997324614
ASV932,ASV1145,2.33E-05
ASV243,ASV570,0.044417806
ASV650,ASV394,1
ASV650,ASV393,1
ASV1285,f5e86a9841f8fb6613b42e1df9d229fa,3.06E-04
ASV76,ASV30,1.43E-04
5ab75def4e6aa82a790cbc92161365b1,ASV1763,1
ASV1969,ASV87,1.11E-16
ASV423,ASV1542,0.992510926
ASV876,ASV344,0.068277052
ASV1231,ASV392,0.755928946
6598ffab6ef90f90ee7a86a9a16f5b82,ASV76,1
ASV414,ASV629,0.012872097
ASV744,ASV1769,1
ASV637,c57c80b904fe1d31d276fe185494d61e,0.755928946
ASV742,ASV1004,0.009389851
7a53176307f0f04ba8ff4fed2cb4c274,ASV815,0.01081583
ASV742,ASV1364,1
6e62698c5e7896acb3a16c75c2adec1e,ASV1145,1
ASV423,ASV804,0.992510926
ASV526,9c0e35aab9c3645fa3182513b254cc5d,7.91E-04
ccbef4f7fdf76aab7fed38193f0dbbb4,fa19522f4a04124c8aeb8b8247645879,1
ASV1515,ASV1769,0.011916646
ASV532,ASV288,0.016710503
ASV1285,ASV111,1
ASV1801,ASV1542,1
ASV742,ASV117,1
ASV768,509ace08b5aa48a88deb5bdad25845d3,1
c613f331cf39789e2b4cf12aa809ac30,ASV744,1
ASV952,ASV667,1.11E-16
ASV943,54dd4aa26421356fd278e399d2603a0b,1
1d3c6367e5f30af163aedf4e59eadeed,ASV1549,1
ASV943,f829f7dd05af5b9ae70b3cb07c41bb7a,1
ASV785,ASV629,8.44E-04
ASV420,ASV1145,1.11E-16
a374682230a829573120efb75d1bd96b,ASV667,1
